fips,county,state,fema_region,date,cases_last_7_days,cases_per_100k_last_7_days,total_cases,cases_pct_change_from_prev_week,deaths_last_7_days,deaths_per_100k_last_7_days,total_deaths,deaths_pct_change_from_prev_week,test_positivity_rate_last_7_days,total_positive_tests_last_7_days,total_tests_last_7_days,total_tests_per_100k_last_7_days,test_positivity_rate_pct_change_from_prev_week,total_tests_pct_change_from_prev_week,confirmed_covid_hosp_last_7_days,confirmed_covid_hosp_per_100_beds_last_7_days,confirmed_covid_hosp_per_100_beds_pct_change_from_prev_week,suspected_covid_hosp_last_7_days,suspected_covid_hosp_per_100_beds_last_7_days,suspected_covid_hosp_per_100_beds_pct_change_from_prev_week,pct_inpatient_beds_used_avg_last_7_days,pct_inpatient_beds_used_abs_change_from_prev_week,pct_inpatient_beds_used_covid_avg_last_7_days,pct_inpatient_beds_used_covid_abs_change_from_prev_week,pct_icu_beds_used_avg_last_7_days,pct_icu_beds_used_abs_change_from_prev_week,pct_icu_beds_used_covid_avg_last_7_days,pct_icu_beds_used_covid_abs_change_from_prev_week,pct_vents_used_avg_last_7_days,pct_vents_used_abs_change_from_prev_week,pct_vents_used_covid_avg_last_7_days,pct_vents_used_covid_abs_change_from_prev_week,pct_fully_vacc_total_pop,pct_fully_vacc_65_and_older
1000,"Unallocated, AL",AL,4,05/10/2023 12:00:00 AM,0,,0,,0,,0,,0,1,122,,-0.01,0.099,,,,,,,,,,,,,,,,,,,,
1001,"Autauga County, AL",AL,4,05/10/2023 12:00:00 AM,8,14.319,19913,-0.333,0,0,235,,0.07,10,192,343.661,0.017,0.032,0.434,0.245,-0.699,3.617,2.044,-0.261,0.687,0.031,0.006,-0.001,0.717,-0.15,0.013,-0.011,,,,,0.461,0.744
1003,"Baldwin County, AL",AL,4,05/10/2023 12:00:00 AM,45,20.158,70521,-0.196,0,0,731,,0.073,27,340,152.307,-0.018,0,8.966,1.35,-0.025,0,0,,0.78,0.02,0.01,-0.004,0.836,-0.016,0.007,-0.009,,,,,0.534,0.888
1005,"Barbour County, AL",AL,4,05/10/2023 12:00:00 AM,3,12.153,7582,-0.25,0,0,104,,0,2,35,141.781,-0.047,-0.125,0.711,0.991,-0.109,0,0,-1,0.765,0.003,0.01,0.002,0.75,-0.057,0.026,0.01,,,,,0.474,0.747
1007,"Bibb County, AL",AL,4,05/10/2023 12:00:00 AM,4,17.862,8149,-0.556,0,0,111,,0.043,1,50,223.274,0.024,-0.074,0.507,0.656,-0.41,0.633,0.82,-0.389,0.808,-0.007,0.011,-0.001,0.85,0.01,0.009,-0.003,,,,,0.365,0.639
1009,"Blount County, AL",AL,4,05/10/2023 12:00:00 AM,16,27.669,18872,1,0,0,261,,0.09,9,121,209.248,0.016,0.09,1.308,0.656,-0.41,1.635,0.82,-0.389,0.808,-0.007,0.011,-0.001,0.85,0.01,0.009,-0.003,,,,,0.329,0.555
1011,"Bullock County, AL",AL,4,05/10/2023 12:00:00 AM,1,9.9,3057,-0.75,0,0,54,,0.008,3,370,3663.004,0.006,-0.041,0.078,0.245,-0.699,0.654,2.044,-0.261,0.687,0.031,0.006,-0.001,0.717,-0.15,0.013,-0.011,,,,,0.568,0.845
1013,"Butler County, AL",AL,4,05/10/2023 12:00:00 AM,2,10.284,6617,,0,0,132,,0,0,28,143.974,-0.037,-0.176,0,0,,0,0,,0.459,0.086,0,0,0.5,0.381,0,0,,,,,0.41,0.677
1015,"Calhoun County, AL",AL,4,05/10/2023 12:00:00 AM,19,16.725,41931,0.727,0,0,683,,0.037,7,225,198.055,0.012,-0.111,0.816,0.339,-0.595,17.553,7.286,7.71,0.766,0.034,0.006,-0.002,0.798,0.008,0.021,0.008,,,,,0.49,0.832
1017,"Chambers County, AL",AL,4,05/10/2023 12:00:00 AM,7,21.05,10935,1.333,0,0,172,,0.004,0,499,1500.571,0.004,-0.115,0.324,0.658,-0.003,2.812,5.704,-0.215,0.696,0.025,0.013,0.002,0.717,0.055,0.007,-0.007,,,,,0.332,0.529
