state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage,all_pediatric_inpatient_bed_occupied,all_pediatric_inpatient_bed_occupied_coverage,all_pediatric_inpatient_beds,all_pediatric_inpatient_beds_coverage,previous_day_admission_pediatric_covid_confirmed_0_4,previous_day_admission_pediatric_covid_confirmed_0_4_coverage,previous_day_admission_pediatric_covid_confirmed_12_17,previous_day_admission_pediatric_covid_confirmed_12_17_coverage, previous_day_admission_pediatric_covid_confirmed_5_11,previous_day_admission_pediatric_covid_confirmed_5_11_coverage,previous_day_admission_pediatric_covid_confirmed_unknown,previous_day_admission_pediatric_covid_confirmed_unknown_coverage,staffed_icu_pediatric_patients_confirmed_covid,staffed_icu_pediatric_patients_confirmed_covid_coverage,staffed_pediatric_icu_bed_occupancy,staffed_pediatric_icu_bed_occupancy_coverage,total_staffed_pediatric_icu_beds,total_staffed_pediatric_icu_beds_coverage,date
AK,1,5,12,1,15,2,0,8,1093,18,869,18,3,8,2,18,0,8,0,18,0,8,65,18,0,10,1,18,3,8,6,18,0,8,0,18,96,18,0.795059469350412,18,869,1093,0.005813953488372,8,3,516,0.004862236628849,8,3,617,0,10,0,48,0.677083333333333,18,65,96,,0,18,0,17,0,17,0,17,1,17,1,17,0,17,0,17,0,16,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,9,0,0,0,0,0,0,0,18,0,18,0,8,0,8,4,0,7,18,26,18,48,18,0,18,0,17,0,17,0,18,0,18,5,18,6,18,04/27/2024 12:00:00 AM
VI,0,0,1,0,1,0,,0,112,1,50,1,,0,0,1,,0,0,1,,0,5,1,,0,0,1,,0,0,1,,0,0,1,8,1,0.446428571428571,1,50,112,,,,,,,,,,,,,0.625,1,5,8,,0,1,,0,,0,,0,,0,,0,,0,,0,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,1,0,1,,0,,0,0,,0,1,5,1,8,1,0,1,,0,,0,0,1,0,1,0,1,0,1,04/27/2024 12:00:00 AM
CA,5,115,217,22,252,63,13,158,59666,337,45346,336,668,153,110,337,83,169,1,329,3,151,4426,337,66,155,56,337,652,155,518,337,16,153,17,329,6244,337,0.76301531213192,336,45346,59430,0.028231797919762,152,665,23555,0.02181936959007,153,668,30615,0.020177315805564,155,66,3271,0.708840486867393,337,4426,6244,,2,335,3,332,10,332,2,332,11,332,20,331,27,332,36,332,3,335,2,168,4,168,8,168,4,168,7,168,20,168,14,168,13,168,11,156,10,143,1907,1022,518,0,0,0,15,337,16,337,0,112,0,139,106,3,136,337,2557,329,4001,329,1,328,0,325,0,324,0,324,5,329,789,329,1243,329,04/27/2024 12:00:00 AM
FL,3,39,162,4,124,76,8,101,54450,204,39861,204,289,91,57,204,92,115,2,198,19,102,4377,204,38,91,39,204,257,91,296,204,32,91,16,198,5968,204,0.732066115702479,204,39861,54450,0.014550397744437,91,289,19862,0.010120110655881,91,289,28557,0.012683578104139,91,38,2996,0.733411528150134,204,4377,5968,,0,204,2,199,3,199,3,200,1,199,7,199,16,200,23,198,4,204,0,114,3,112,2,112,5,112,11,112,15,112,21,112,11,112,24,114,6,86,354,0,0,0,40,270,14,204,35,204,0,93,0,93,151,3,93,204,1637,198,2369,198,1,198,0,192,0,192,1,195,8,198,543,198,777,198,04/27/2024 12:00:00 AM
SC,11,8,47,11,38,17,2,43,10028,66,7413,66,144,41,10,66,25,43,0,64,0,41,781,66,18,41,2,66,142,41,49,66,2,41,0,64,1219,66,0.73923015556442,66,7413,10028,0.025513819985826,41,144,5644,0.019287436378248,41,144,7466,0.020361990950226,41,18,884,0.640689089417555,66,781,1219,,0,65,1,61,1,61,0,61,0,61,1,61,3,61,4,61,0,61,1,42,0,42,3,42,1,42,2,42,5,42,10,42,3,42,0,38,0,29,365,1595,645,0,0,0,3,66,6,66,0,27,0,27,16,0,27,66,266,64,459,64,0,63,0,59,0,59,0,59,0,64,61,64,89,64,04/27/2024 12:00:00 AM
MN,0,0,128,6,79,43,0,11,9340,128,7471,128,2,11,7,128,0,12,0,127,0,11,587,128,0,11,5,128,2,11,62,128,0,11,2,127,857,128,0.799892933618844,128,7471,9340,0.02020202020202,11,2,99,0.007168458781362,11,2,279,0,11,0,17,0.684947491248541,128,587,857,,0,128,0,128,1,128,1,128,1,128,1,128,3,128,0,128,0,128,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,0,522,,176,0,,0,2,128,5,128,,0,,0,26,,0,128,480,127,696,127,0,127,0,127,0,127,0,127,0,127,94,127,158,127,04/27/2024 12:00:00 AM
OK,0,1,121,11,87,24,2,27,8274,122,5518,122,102,26,7,122,55,76,0,120,0,27,657,122,13,26,8,122,87,26,56,122,15,26,15,120,878,122,0.66690838772057,122,5518,8274,0.035416666666667,26,102,2880,0.027192748600373,26,102,3751,0.026422764227642,26,13,492,0.748291571753986,122,657,878,,0,122,0,115,0,114,0,114,0,114,2,114,3,114,2,114,0,122,2,29,1,28,3,28,5,28,9,28,11,28,10,28,14,28,0,29,0,27,0,0,0,0,0,0,7,122,3,122,0,21,0,21,18,1,21,122,300,120,400,120,0,120,0,111,0,112,0,110,0,120,73,120,90,120,04/27/2024 12:00:00 AM
MO,2,18,91,18,57,36,4,43,13852,111,11302,111,259,39,26,111,128,45,0,107,10,39,1270,111,31,39,22,111,241,39,115,111,18,39,10,107,1618,111,0.815911059774762,111,11302,13852,0.051064668769716,39,259,5072,0.044288645690834,39,259,5848,0.042876901798064,39,31,723,0.784919653893696,111,1270,1618,,1,111,0,104,1,104,1,104,2,104,9,104,6,104,6,104,0,111,1,44,4,44,8,44,11,44,11,44,27,45,28,45,38,45,0,45,2,41,0,0,0,0,0,0,12,111,10,111,0,46,0,47,63,2,47,111,662,107,791,107,0,107,0,100,0,100,0,107,2,107,170,107,204,107,04/27/2024 12:00:00 AM
WV,0,0,54,0,3,51,,0,4817,54,3726,54,,0,4,54,0,4,0,50,,0,437,54,,0,5,54,,0,38,54,,0,3,50,601,54,0.77351048370355,54,3726,4817,,,,,,,,,,,,,0.72712146422629,54,437,601,,0,54,0,54,0,54,0,54,0,54,0,54,3,54,1,54,0,54,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,,0,,,,,,,3,54,2,54,,0,,0,14,,0,54,173,50,276,50,0,50,0,50,0,50,0,3,0,50,22,50,42,50,04/27/2024 12:00:00 AM
ID,0,9,36,1,39,5,1,29,2801,45,1755,45,31,27,5,45,4,28,0,44,0,27,161,45,4,27,4,45,30,27,26,45,1,27,1,44,240,45,0.626561942163513,45,1755,2801,0.022350396539293,27,31,1387,0.014733840304183,27,31,2104,0.021052631578947,27,4,190,0.670833333333333,45,161,240,,0,45,1,40,0,40,0,40,1,40,1,40,1,40,1,40,0,45,0,28,0,28,0,28,1,28,1,28,0,28,1,28,1,28,0,28,0,26,329,40,226,0,0,0,0,45,2,45,0,12,0,12,8,24,12,45,80,44,53,44,0,44,0,39,0,39,0,44,0,44,13,44,9,44,04/27/2024 12:00:00 AM
